Family	Genome
Verdandiviridae	dsDNA
Vertoviridae	dsDNA
Vilmaviridae	dsDNA
Vilyaviridae	ssDNA; ssDNA(+/-)
Virgaviridae	ssRNA(+)
Winoviridae	dsDNA
Wupedeviridae	ssRNA(-)
Xigoviridae	dsDNA
Xinmoviridae	ssRNA(-)
Yadokariviridae	ssRNA(+)
Yadonushiviridae	dsRNA
Yamazakiviridae	dsDNA
Yangangviridae	dsDNA
Yanlukaviridae	dsDNA
Yaraviridae	dsDNA
Yueviridae	ssRNA(-)
Zierdtviridae	dsDNA
Zimmerviridae	dsDNA
Zobellviridae	dsDNA
